Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Pickups,Dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Trucks,Non-dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Kentucky,0,0,"Medium Duty",Trucks,Dedicated,"Natural Gas Providers",KY
2003,"Liquefied Petroleum Gas (LPG)",Louisiana,0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",LA
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Fullsize)",Dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Midsize)",Dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)",Nevada,0,0,"Light Duty","Automobiles (Midsize)",Non-dedicated,"Natural Gas Providers",NV
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Other Vehicles",Dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Other Vehicles",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty",Pickups,Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Automobiles (Subcompact)",Dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty",SUVs,Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty",Trucks,Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Pickups,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Pickups,Dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Pickups,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Pickups,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Trucks,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Trucks,Dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Trucks,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Medium Duty",Trucks,Non-dedicated,"Electricity Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)",Maryland,0,0,"Heavy Duty",Buses,Non-dedicated,"Electricity Providers",MD
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Vans (Minivans)",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Vans (Minivans)",Dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Vans (Minivans)",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)","New Hampshire",0,0,"Light Duty","Vans (Minivans)",Non-dedicated,"Electricity Providers",NH
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Light Duty","Vans (Minivans)",Dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Light Duty","Vans (Minivans)",Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Light Duty","Vans (Minivans)",Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,6,11,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Medium Duty",Pickups,Dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Medium Duty",Pickups,Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,1,3,"Medium Duty",Trucks,Dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Medium Duty",Trucks,Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)",Wisconsin,0,0,"Medium Duty",Trucks,Non-dedicated,"Natural Gas Providers",WI
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Non-dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)","West Virginia",0,0,"Heavy Duty",Buses,Dedicated,"Natural Gas Providers",WV
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty",Motorcycles,Non-dedicated,"Natural Gas Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty",Motorcycles,Dedicated,"Natural Gas Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty",Motorcycles,Non-dedicated,"Natural Gas Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Natural Gas Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty","Low Speed Vehicles",Dedicated,"Natural Gas Providers",MA
2003,"Liquefied Petroleum Gas (LPG)",Massachusetts,0,0,"Light Duty","Low Speed Vehicles",Non-dedicated,"Natural Gas Providers",MA
