Year,"Fuel Type",State,"Number of Vehicles","Fuel Consumed","Weight Class","Vehicle Type","Engine Configuration","Fleet Estimates",ST
2017,"Ethanol, 85 percent (E85)",California,141,0,"Light Duty",Pickups,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,2397,13,"Light Duty",SUVs,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,26,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,324,0,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,2791,7,"Medium Duty",Pickups,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",California,292,1,"Medium Duty",Trucks,Non-dedicated,"State Agencies",CA
2017,"Ethanol, 85 percent (E85)",Colorado,401,8,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,29,1,"Light Duty","Automobiles (Midsize)",Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,429,10,"Light Duty",Pickups,Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,2,0,"Light Duty","Automobiles (Subcompact)",Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,561,8,"Light Duty",SUVs,Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,1,0,"Light Duty",Trucks,Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,212,14,"Light Duty","Vans (Minivans)",Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,229,3,"Medium Duty",Pickups,Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Colorado,14,0,"Medium Duty",Trucks,Non-dedicated,"State Agencies",CO
2017,"Ethanol, 85 percent (E85)",Connecticut,210,0,"Light Duty","Automobiles (Compact)",Non-dedicated,"State Agencies",CT
2017,"Ethanol, 85 percent (E85)",Connecticut,167,0,"Light Duty","Automobiles (Fullsize)",Non-dedicated,"State Agencies",CT
